$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,tripId,baseVersion,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1882781081,1,LTZ1609,490003758OA,Becmead Avenue,159,159,OA,outbound,22,570,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,600,,Brixton Or Tulse Hill,2026-02-07T16:01:36Z,2026-02-07T16:02:06Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0568472,2026-02-06T22:34:22.192Z,2026-02-07T15:52:13.392Z,2026-02-07T15:52:09.326Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1844659269,1,LTZ1608,490008248N,Hillyard Street,159,159,RD,outbound,2,502,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,1007,,Elephant & Castle Or Imperial War Museum,2026-02-07T16:08:23Z,2026-02-07T16:08:53Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0671199,2026-02-06T22:34:22.192Z,2026-02-07T15:52:13.392Z,2026-02-07T15:52:09.326Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",907937156,1,LTZ1639,490009076F,Leigham Court Road,159,159,F,inbound,197,641,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,577,,Norbury,2026-02-07T16:01:13Z,2026-02-07T16:01:43Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0568472,2026-02-06T22:34:22.192Z,2026-02-07T15:52:13.392Z,2026-02-07T15:52:09.326Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-441358823,1,LTZ1608,490008642H,St Mark's Church,159,159,H,outbound,18,502,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,958,,"Elephant & Castle, Lambeth Bdg Or Lambeth Nth",2026-02-07T16:07:34Z,2026-02-07T16:08:04Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0576134,2026-02-06T22:34:22.192Z,2026-02-07T15:51:43.368Z,2026-02-07T15:51:39.284Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",998256189,1,LTZ1639,490015218S,New Park Road,159,159,BE,inbound,203,641,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,172,,Clapham Park Or Streatham,2026-02-07T15:54:28Z,2026-02-07T15:54:58Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0486214,2026-02-06T22:34:22.192Z,2026-02-07T15:51:43.368Z,2026-02-07T15:51:39.284Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-833063518,1,LTZ1030,490010078K,Mount Ephraim Road,159,159,K,outbound,13,595,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,1245,,"Clapham Common, Brixton Or Tulse Hill",2026-02-07T16:12:21Z,2026-02-07T16:12:51Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0616296,2026-02-06T22:34:22.192Z,2026-02-07T15:51:33.338Z,2026-02-07T15:51:29.253Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1529642970,1,LTZ1019,490008643KH,Kennington Lane,159,159,KH,outbound,1,485,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,600,,Parliament Square,2026-02-07T16:01:36Z,2026-02-07T16:02:06Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0568472,2026-02-06T22:34:22.192Z,2026-02-07T15:52:13.392Z,2026-02-07T15:52:09.326Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1787430285,1,LTZ1609,490000031R,Brixton Station,159,159,R,outbound,15,570,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,1699,,Kennington Oval,2026-02-07T16:19:55Z,2026-02-07T16:20:25Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0742804,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1000460574,1,LTZ1461,490005234N,Christchurch Road,159,159,BS,outbound,9,550,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,553,,Brixton Or Clapham Common,2026-02-07T16:00:49Z,2026-02-07T16:01:19Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0683605,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-711483047,1,LTZ1461,490008544N,Jebb Avenue / Brixton Prison,159,159,BV,outbound,23,550,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,741,,Camberwell Or Kennington Church,2026-02-07T16:03:57Z,2026-02-07T16:04:27Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0676160,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
