vehicleId,stationName,lineId,lineName,direction,timeToStation,towards
LTZ1639,Kingscourt Road,159,159,outbound,1630,"Clapham Common, Brixton Or Tulse Hill"
LTZ1639,Mount Ephraim Road,159,159,inbound,85,"Mitcham, Norbury Or Tooting"
LTZ1034,Kennington Park Post Office,159,159,inbound,258,Brixton
LTZ1034,Vassall Road,159,159,inbound,646,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1682,Leigham Court Road,159,159,inbound,570,Norbury
LTZ1030,Mount Ephraim Road,159,159,outbound,602,"Clapham Common, Brixton Or Tulse Hill"
LTZ1040,Vassall Road,159,159,inbound,139,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1609,Brixton Station,159,159,outbound,1056,Kennington Oval
LTZ1461,Jebb Avenue / Brixton Prison,159,159,outbound,98,Camberwell Or Kennington Church
LTZ1032,Streatham Station,159,159,outbound,769,Pollards Hill Or Streatham Hill
LTZ1461,Lower Marsh,159,159,outbound,1698,Pimlico Or Trafalgar Square
LTZ1034,Loughborough Road,159,159,inbound,840,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1461,Brixton Station,159,159,outbound,503,Kennington Oval
LTZ1030,Brixton Road / Brixton Police Station,159,159,outbound,1710,Lambeth Bridge Or Lambeth North
LTZ1040,Loughborough Road,159,159,inbound,335,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1608,Lower Marsh,159,159,outbound,1149,Pimlico Or Trafalgar Square
LTZ1040,Brixton Water Lane,159,159,inbound,963,Clapham Park Or Streatham
LTZ1032,Kingscourt Road,159,159,outbound,1093,"Clapham Common, Brixton Or Tulse Hill"
LTZ1160,Fitzalan Street,159,159,inbound,304,Brixton Or Pimlico
LTZ1168,Brixton Road / Brixton Police Station,159,159,inbound,123,Streatham Hill
LTZ1168,Holmewood Road,159,159,inbound,689,"Clapham Park, Streatham Common Or Tooting"
LTZ1682,Becmead Avenue,159,159,inbound,598,Norbury
LTZ1461,Rush Common,159,159,outbound,269,Camberwell Or Kennington Church
LTZ1160,St Mark's Church,159,159,inbound,795,Streatham Hill
LTZ1032,Becmead Avenue,159,159,outbound,1032,Brixton Or Tulse Hill
LTZ1609,Rush Common,159,159,outbound,808,Camberwell Or Kennington Church
LTZ1030,Rush Common,159,159,outbound,1348,Camberwell Or Kennington Church
LTZ1030,New Park Road,159,159,outbound,1112,Camberwell Or Kennington Church
LTZ1030,Blenheim Gardens,159,159,outbound,1267,Camberwell Or Kennington Church
